id,name,category,rating,review_count,image,description,hashtag,price,contact,created_at
2940,노보텔 앰배서더 강남,HALL,75.0,53,https://dnna01d8m6k3w.cloudfront.net/partnerProfile/4658/202602/20260204/adf4634c-b4ee-4d87-961f-cfcc47de2db5.jpg,"💒보르도홀 (LL층)
- 스타일: 밝은 / 호텔
- 예식 간격: 하루 두 타임 진행
- 보증인원: 70명
- 예식형태: 동시예식
- 식사형태: 코스
- 최대 수용인원: 168명

💒샴페인홀 (2층)
- 스타일: 어두운 / 호텔
- 예식 간격: 하루 세 타임 진행
- 보증인원: 저녁 200명~점심 300명
- 예식형태: 동시예식
- 식사형태: 코스
- 최대 수용인원: 500명

📝체크리스트
- 신논현역 도보 7분
- 건물 내 주차 400대 수용
- 플라워랩핑","호텔 예식,식대 100,000,180,동시,코스,180,어두운,밝은",18100000,02-531-6622,2026-03-13 08:13:33
13381,더채플앳대치,HALL,0.0,32,https://dnna01d8m6k3w.cloudfront.net/partnerProfile/7042/202511/20251104/1372e31b-a9a8-4b4c-92fb-130ec67d7c6e.jpg,"💒단독홀 
- 스타일: 밝은 / 채플
- 예식 간격: 120분
- 보증인원: 저녁 200명~점심 270명
- 예식형태: 분리예식
- 식사형태: 뷔페 
- 최대 수용인원: 400명

📝체크리스트
- 삼성역 도보 15분
- 건물 내 주차 100대 수용 (외부 주차 150대 수용)
- 셔틀버스 운행","채플,뷔페,식대 121,000,120,분리",53460000,02-544-1121,2026-03-13 08:13:33
1004,규수당 문래점,HALL,70.0,146,https://dnna01d8m6k3w.cloudfront.net/profile/202505/20250502/d541a4e3-4e38-4d29-9d67-48789ef75913.jpg,"💒카이타스홀 (2층)
- 스타일: 어두운
- 예식 간격: 70분
- 보증인원: 저녁 150명~점심 200명
- 예식형태: 분리예식
- 식사형태: 뷔페 
- 최대 수용인원: 500명

📝체크리스트
- 영등포역 도보 7분 
- 건물 내 주차 400대 수용(외부 주차 1,000대 수용)   
- 리프트 입장","일반 컨벤션,뷔페,식대 65,000,분리,70,70,어두운",20800000,02-332-9000,2026-03-13 08:13:33
9945,노블발렌티 삼성점,HALL,82.0,127,https://dnna01d8m6k3w.cloudfront.net/partnerProfile/4807/202509/20250908/305a4aac-0be3-4c9a-970e-e8b46a9891bf.jpg,"💒단독홀 (5층)
- 스타일: 밝은 / 채플
- 예식 간격: 120분
- 보증인원: 저녁 250명~점심 300명
- 예식형태: 분리예식
- 식사형태: 코스
- 최대 수용인원: 500명

📝체크리스트
- 봉은사역 도보 5분
- 건물 내 주차 1,000대 수용
- 셔틀버스 운행","코스,채플,식대 100,000,분리,180,180,밝은",40800000,02-540-0711,2026-03-13 08:13:33
11161,루벨,HALL,81.0,285,https://dnna01d8m6k3w.cloudfront.net/partnerProfile/4358/202512/20251223/d8d7713c-db17-467b-a49e-16ff97e634dc.jpg,"💒단독홀 (35층)
- 스타일: 밝은 / 채플
- 예식 간격: 90분
- 보증인원: 저녁 200명~점심 270명
- 예식형태: 분리예식
- 식사형태: 뷔페
- 최대 수용인원: 500명

📝체크 리스트
- 강동역 도보 1분
- 건물 내 주차 350대 수용","일반 컨벤션,뷔페,식대 75,900,90,90,분리,밝은",36000000,02-6956-0230,2026-03-13 08:13:33
4463,보타닉파크웨딩,HALL,78.0,357,https://dnna01d8m6k3w.cloudfront.net/partnerProfile/2372/202410/20241011/89c750c5-2c8b-4faa-83d6-2b76dc11be25.jpg,"💒오키드홀 (L층)
- 스타일: 어두운
- 예식 간격: 80분
- 보증인원: 저녁 200명~점심 250명
- 예식형태: 분리예식 
- 식사형태: 뷔페 
- 최대 수용인원: 500명

💒카라홀 (L층)
- 스타일: 하우스
- 예식 간격: 80분
- 보증인원: 저녁 200명~점심 250명
- 예식형태: 분리예식 
- 식사형태: 뷔페 
- 최대 수용인원: 500명

📝체크 리스트
- 마곡나루역 도보 1분
- 건물 내 주차 1,000대 수용
- 애견 화동                                                                                                                                                                      ","하우스,뷔페,80,80,분리,식대 60,000,일반 컨벤션,어두운,밝은",29400000,02-2662-8300,2026-03-13 08:13:33
10644,아펠가모 공덕점,HALL,80.0,260,https://dnna01d8m6k3w.cloudfront.net/partnerProfile/4476/202411/20241101/4a7bbdcd-0078-4119-8a41-206ed1538c0b.jpg,"💒라로브홀 (7층)
- 스타일: 채플 / 밝은 
- 예식 간격: 90분
- 보증인원: 저녁 200명~점심 300명
- 예식형태: 분리예식
- 식사형태: 뷔페
- 최대 수용인원: 500명

💒마리에홀 (7층)
- 스타일: 채플 / 밝은 
- 예식 간격: 90분
- 보증인원: 저녁 200명~점심 300명
- 예식형태: 분리예식
- 식사형태: 뷔페
- 최대 수용인원: 500명

📝체크리스트
- 공덕역 도보 1분
- 건물 내 주차 200대 수용(외부 주차 300대 수용)                                                                                                                                                                                                  ","채플,뷔페,식대 80,300,90,90,분리,밝은",40000000,02-2197-0230,2026-03-13 08:13:33
1421,아펠가모 광화문점,HALL,82.0,233,https://dnna01d8m6k3w.cloudfront.net/partnerProfile/3980/202410/20241008/e4825904-bdc1-4b69-bbe1-231a3c1e157a.png,"💒단독홀 (LL층)
- 스타일: 채플
- 예식 간격: 90분
- 보증인원: 저녁 200명~점심 300명
- 예식형태: 분리예식
- 식사형태: 뷔페
- 최대 수용인원: 550명

📝체크 리스트
- 광화문역 도보 7분
- 건물 내 주차 400대 수용","채플,뷔페,분리,90,90,식대 81,400,밝은",40000000,02-730-0230,2026-03-13 08:13:33
1237,아펠가모 반포점,HALL,79.0,245,https://dnna01d8m6k3w.cloudfront.net/partnerProfile/4104/202411/20241101/d20e92b2-3cb1-4ff6-aaf4-768915754c6a.jpg,"💒단독홀 (LL층)
- 스타일: 채플 
- 예식 간격: 90분
- 보증인원: 저녁 200명~점심 300명
- 예식형태: 분리예식
- 식사형태: 뷔페
- 최대 수용인원: 570명

📝체크리스트
- 고속터미널역 도보 5분
- 건물 내 주차 250대 수용                                  ","채플,뷔페,식대 82,500,90,90,분리,밝은",40000000,02-3431-0230,2026-03-13 08:13:33
13297,하우스 오브 더 라움,HALL,0.0,1,https://dnna01d8m6k3w.cloudfront.net/partnerProfile/6958/202601/20260127/3cde4c40-2c15-40d9-b61e-474c0135a7a8.jpg,"💒A홀 (B1층)
- 스타일: 채플
- 예식 간격: 120분
- 보증인원: 저녁 200명~점심 250명
- 예식형태: 분리예식
- 식사형태: 뷔페
- 최대 수용인원: 400명

💒B홀 (B1층)
- 스타일: 채플
- 예식 간격: 120분
- 보증인원: 저녁 200명~점심 250명
- 예식형태: 분리예식
- 식사형태: 뷔페
- 최대 수용인원: 400명

📝체크 리스트
- 건대입구역 도보 1분
- 건물 내 주차 150대 수용
- 애견 화동","어두운,뷔페,식대 130,000,120,120,분리",41000000,02-6457-8100,2026-03-13 08:13:33
